"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Computer Games Technology",,,"https://www.abertay.ac.uk/course-search/undergraduate/computer-games-technology/",4,"years",,"Undergraduate",,"September",,,,,"15,500",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have Higher Maths at B or equivalent.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BSc (Hons) in Computer Games Technology?</h2>
                    <p class=""preamble""><strong>Press start on a world-leading Computer Games Technology degree and go under the bonnet to study and develop the engines that make computer games whirr – skilfully delivered by experts who’ve worked on blockbuster titles including Grand Theft Auto (GTA), Angry Birds and Crackdown</strong>.</p>
<p>Study at Europe’s top university for computer games and learn all the skills you need to become a programmer in one of the most demanding and rewarding industries in the world. </p>
<p>From games programming, graphics and artificial intelligence to games hardware and procedural generation, this challenging degree equips you with the confidence and skills you need to pursue a career in the multi-billion pound games industry.</p>
<p>But that's not all. </p>
<p>To make sure you’re learning at the cutting-edge, the programme is kept up-to-date as the games industry changes and technology advances, ensuring you’re work-ready and familiar with whatever challenges the sector throws up.</p>
<p>This course scored <strong>over 85% for Teaching Satisfaction and Learning Opportunities</strong> in the 2020 National Student Survey. </p>
<p><span>Abertay </span><span>is widely regarded as THE place to study for a games degree. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction</strong></li>
<li>Princeton Review 2020 <strong>best in Europe</strong> for <strong>Video Games Education</strong> for the 6th year in a row.</li>
</ul>
<p>In addition, you'll be learning in Dundee, the hub of Scotland's booming games industry, which is home to one-third of the country's gaming companies.</p>
                </div>",,
"Cybersecurity",,,"https://www.abertay.ac.uk/course-search/undergraduate/cybersecurity/",4,"years",,"Undergraduate",,"September",,,,,"15,500",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Why study a Cybersecurity Degree?</h2>
                    <p class=""preamble""> </p>
<h3><strong>The UK’s national cybersecurity strategy identifies software vulnerabilities as a key threat, and makes building security into software from the start as a national priority. But most software developers aren’t security experts – and that’s what the industry needs. </strong></h3>
<p>This degree aims to give you the skills to design and implement secure software systems that are resilient to cyberattack. New for 2021, we are drawing on our teaching expertise in ethical hacking, computing, secure software engineering and human-centred security. We want to prepare you for the rapidly-evolving cybersecurity work environment. </p>
<p>Right from the start, you will get an in-depth understanding of programming and building secure systems through hands-on experience. You will be working across desktop, mobile and embedded platforms.</p>
<p>Using your grasp of programming and computer architecture, the measures you design will help stop cyberattacks by creating systems with fewer vulnerabilities. By the time you graduate you will have a range of specialist analytical, operational and developer skills designed to make you hugely employable.</p>
<p>Our graduates end up in a wide range of roles like software engineers or specialist security reviewers. The grounding we give you means you can transition easily into exciting new roles as the cybersecurity industry develops and grows.</p>
<p class=""preamble""><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>
<p class=""preamble"">Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></p>
</li>
<li>
<p class=""preamble"">Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></p>
</li>
<li>
<p class=""preamble"">National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></p>
</li>
</ul>
                </div>",,
"Computer Game Applications Development",,,"https://www.abertay.ac.uk/course-search/undergraduate/computer-game-applications-development/",4,"years",,"Undergraduate",,"September",,,,,"15,500",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note: </strong>All applicants must have a pass in Maths - National 5 grade B or GCSE grade B/5 or equivalent. National 5 Lifeskill Maths <strong>not accepted</strong> in lieu of Maths.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BSc (Hons) in Computer Game Applications Development?</h2>
                    <p class=""preamble""><strong>Create games and interactive experiences or script game mechanics and programming tools by choosing a world-leading degree that arms you with the skills you need for a fast-paced and exciting career in the multi-billion pound computer games industry.</strong></p>
<p class=""preamble"">Widely recognised as<span> </span>THE<em data-redactor-tag=""em""> </em>place to get a games qualification, this degree will develop your skills in games programming, artificial intelligence for games, network programming, and interface design, making sure you’re adept in the use of industry standard game engines and technologies.</p>
<p class=""preamble"">The programme boasts the best teaching in the area (a blend of industry and academic experience) and is designed to evolve as the games industry changes and technology advances. This ensures</p>
<p class=""preamble"">you’re well equipped for employment within the creative industries sector.</p>
<p class=""preamble"">You’ll graduate with the confidence and skills required to work in one of the most demanding industries in the world, giving you a distinct advantage over other computing graduates intending to pursue a career in the games industry.</p>
<p class=""preamble"">Throughout the programme, you’ll be given the opportunity to work closely with local and global games industries, as well as collaborating with other games related courses, including art, media and audio.</p>
<p class=""preamble"">This course gained an<strong> amazing 95% Overall Student Satisfaction rating</strong> in the 2020 National Student Survey.</p>
<p class=""preamble"">Abertay really is THE place to study for a games degree.<span> But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction</strong></li>
<li>Princeton Review 2020 <strong>best in Europe</strong> for <strong>Video Games Education</strong> for the 6th year in a row.</li>
</ul>
                </div>",,
"BA (Hons) Business Management with People Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-people-management/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths or Lifeskill Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. </p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BA (Hons) Business Management with People Management?</h2>
                    <h3>Overview</h3>
<p>What are the business challenges presented by shifting markets, ever-changing business models and emerging technologies? Which management skills do you need to deliver a high-level financially and sustainable organisational performance? </p>
<p>People are the lifeblood of any organisation, which is why it’s vital for businesses to make sure employees are happy, healthy and able to work to the best of their abilities. In order to prosper in an aggressive global economy, companies must effectively guide, nurture and manage their workforce.</p>
<p>Gain a clear understanding of how complex organisations work by choosing this fascinating degree designed to give your career a head start. Learn to thrive in today’s fast-paced global economy. </p>
<p>You will learn from tutors with an extensive professional or academic background in People Management, as well as guest speakers from industry. By going beyond the classroom and undertaking activities such as <strong>the international IBM Business Challenge</strong>, you’ll gain a greater understanding of the complexities of business management.</p>
<h3><span>Why study this course here</span></h3>
<ul>
<li><strong>UK University of the Year 2021</strong> - <strong>Teaching Quality</strong><strong> </strong>(The Times/ Sunday Times Good University Guide)</li>
<li><strong>UK Top 10</strong> - <strong>Student Satisfaction</strong> &amp; <strong>Teaching</strong> (Guardian Good University Guide 2021)</li>
<li><strong>UK Top 10 </strong>- <strong>Student Satisfaction </strong>(National Student Survey 2020)</li>
</ul>
<p>From recruitment and talent management to developing strategies, you will develop a specialist knowledge of HR. When you graduate<strong> you will be ready to improve organisational productivity, performance and profits by managing people effectively. </strong></p>
<p>So whether your ambition is to start your own business or work within an organisation, your skills will be relevant all over the world.</p>
                </div>",,
"Biomedical Science",,,"https://www.abertay.ac.uk/course-search/undergraduate/biomedical-science/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong>  All applicants must have passes in English and Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. Lifeskill Maths not accepted in lieu of Maths.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BSc (Hons) in Biomedical Science?</h2>
                    <h3 class=""preamble"">Our Biomedical Science degree offers an exciting, fast-paced learning experience and provides you with a deep understanding of the science behind human health and disease.</h3>
<p><span>We teach you how to explore the biochemical processes that occur in the human body. You will learn how the human body responds to disease, and how to use your knowledge to help identify diseases of all kinds.</span></p>
<p>Extensive training in our new £3.5m science labs is a feature of all four years of your degree. This is combined with rigorous study of the body in health and disease at all levels (body, organ, tissue, cellular and molecular).</p>
<p>Biomedical scientists are responsible for conducting vitally important scientific tests, which underpin the diagnosis and treatment of human disease. This cutting-edge scientific analysis contributes greatly to the clinical outcomes of patients.</p>
<p>Taught by a combination of academic experts and clinical professionals, this wide-ranging programme is accredited by the <a rel=""noopener noreferrer"" href=""https://careers.ibms.org/documents/ibms-accredited-universities-offering-top-up-courses/"" target=""_blank"" title=""IBMS Accreditation"">Institute of Biomedical Science (IBMS)</a>.</p>
<p>Our BMS degree has consistently rated <strong>over 90% for student satisfaction</strong>. <span>Abertay University ranks in the </span><a rel=""noopener noreferrer"" href=""/news/2020/abertay-university-ranked-top-three-in-scotland-for-student-satisfaction/"" target=""_blank"">top three Scottish Universities for Student Satisfaction in the 2020 National Student Survey</a><span> (NSS).</span></p>
<p>Following a common pathway for two years, you’ll take either the Standard or the Applied programme route.</p>
<p>The Applied route includes an 18-week placement in one of our partner hospital laboratories<span> </span>and is particularly relevant if you want become a Biomedical Scientist in the NHS.</p>
<p>While both degrees are accredited by the <a rel=""noopener noreferrer"" href=""https://ibms.org"" target=""_blank"" title=""IBMS"">Institute of Biomedical Science (IBMS)</a>, (essential if you want to work in the NHS), the Applied route is also approved by the <a rel=""noopener noreferrer"" href=""https://www.hcpc-uk.org"" target=""_blank"" title=""HCPC"">Health and Care Professions Council (HCPC)</a>.</p>
<p>Our teaching quality is amazing:</p>
<ul>
<li><strong>UK University of the Year 2021 - Teaching Quality</strong> (The Times/ Sunday Times Good University Guide).</li>
<li><strong>UK Top 10 - Student Satisfaction &amp; Teaching</strong> (Guardian Good University Guide 2021).</li>
<li><strong>UK Top 10 - Student Satisfaction</strong> (National Student Survey 2020).</li>
</ul>
                </div>",,
"Yeast and Fermentation research",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/yeast-and-fermentation-research/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The food and drink industry is extremely important to the UK/Scottish economy and Abertay research within the <a rel=""noopener noreferrer"" href=""/schools/school-of-applied-sciences/division-of-engineering-and-food-science/"" target=""_blank"" title=""Division of Engineering and Food Science"">Division of Engineering and Food Science</a> is at the forefront of new developments and knowledge transfer in food innovation and sustainability.</p>
<p>Current research projects cover a range of food science and technology topics. These include: evaluation of novel yeasts for whisky fermentations, legumes as sustainable raw materials for foods and beverages, non-thermal food preservation processes, ultasound extraction of food bioactives, Maillard reaction products, food antioxidants, E-cigarette emissions, sensory science using electromyography and chemistry of oak maturation of spirits.</p>
<p>Experts in the Division are also researching aspects of human nutrition and public health and have been contributing to Scottish Government policy on food and dietary issues specifically pertaining to Scotland. </p>
<p>We collaborate closely with industry and external research institutes and have excellent laboratory and pilot plant facilities for research and new product development, together with a state-of-the art sensory suite for consumer evaluation of novel food and drink products.</p>
<p> </p>
                </div>",,
"BA (Hons) Business Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/business-management-1/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths or Lifeskill Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. </p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BA (Hons) Business Management?</h2>
                    <h3>Overview</h3>
<p>What are the business challenges presented by shifting markets, ever-changing business models and emerging technologies? Which management skills do you need to deliver a high-level financially and sustainable organisational performance? </p>
<p>You will learn how businesses work by choosing this fascinating degree designed to give your career a head start. We teach you how to thrive in today’s fast-paced global economy. </p>
<p>By using our outstanding industry links, you will find out how businesses really operate through expert guest speakers, projects tackling real life business problems, work placements and offsite visits. By going beyond the classroom and working on extra-curricular activities such as <strong>the IBM international Business Challenge,</strong> you’ll gain a deeper understanding of the complexities of business life.</p>
<h3><span>Why study this course here</span></h3>
<ul>
<li><strong>UK University of the Year 2021</strong> - <strong>Teaching Quality</strong><strong> </strong>(The Times/ Sunday Times Good University Guide)</li>
<li><strong>UK Top 10</strong> - <strong>Student Satisfaction</strong> &amp; <strong>Teaching</strong> (Guardian Good University Guide 2021)</li>
<li><strong>UK Top 10 </strong>- <strong>Student Satisfaction </strong>(National Student Survey 2020)</li>
</ul>
<p>We put employability at the forefront by focusing on current themes in business management. You will develop the knowledge and transferrable skills required to become a professional manager in a digital environment.</p>
<p>So whether your ambition is to start your own business or work within an organisation, your skills will be relevant all over the world.</p>
                </div>",,
"Water Governance",,,"https://www.abertay.ac.uk/course-search/postgraduate-research/water-governance/",1,"year",,"Postgraduate",,"February, June   , October",,,,,,,,,,"Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Overview</h2>
                    <p>This is a potential research degree area, subject to the approval of the University. If you are interested in undertaking a research degree in this area, please make contact with the <a href=""mailto:a.cameron@abertay.ac.uk"">Dean</a> to discuss your proposal.</p>
<p>The Engineering Division is home to the University’s leading specialist centre - <a rel=""noopener noreferrer"" href=""https://www.abertay.ac.uk/business/services/uwtc/our-research/"" target=""_blank"" title=""UWTC"">the Urban Water Technology Centre (UTWC)</a> that has a unique focus on the interface between scientific and technological research addressing the challenges of building resilient and sustainable communities. Our strengths derive from valuable links established between academia and industry at a national and international level in the construction and civil engineering, water, waste, manufacturing, food and drinks sectors. </p>
<p>Our research significantly contributes to Abertay’s <a href=""https://www.abertay.ac.uk/research/research-themes/environment/""><strong>Environment</strong></a> research theme with a focus on applying technological and sustainable solutions to contemporary problems. Our knowledge transfer expertise and management supporting tools assist a wide range of industrial and non-industrial stakeholders such as national and local government, a wide range of private sector organisations, regulatory bodies, water and waste companies, Non-governmental organisations (NGOs) and health boards.</p>
<p>We have a formidable track record in combining academic skills and commercial expertise with our research approach being very much multi-disciplinary and industry-facing resulting in the expertise of our staff being much sought after by businesses and professionals in the field operating at an International Level. We are a member of SAGES network, a collaboration of Scottish Universities whose goal it is to provide the highest quality/world-leading postgraduate education and research experience. </p>
<p> </p>
                </div>",,
"Digital Marketing and Business Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/digital-marketing-and-business-management/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. National 5 Lifeskill Maths accepted in lieu of Maths.</p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BA (Hons) in Digital Marketing and Business Management?</h2>
                    <p class=""preamble""><strong>Develop highly-relevant marketing knowledge and skills for the digital era, including social media marketing, brand management, market research and creative design using problem-based learning. </strong></p>
<p>Choose this degree designed to develop your digital marketing knowledge and business skills. It’s a great way to start building your career as a professional marketer and manager.</p>
<p>We will teach you how to understand different markets, manage customer relationships and communicate your brand strategy effectively. And you’ll learn about business decision making, functions and challenges, making you a highly effective manager. </p>
<p>From viral videos to influencers promoting their favourite products, you've seen and shared the work of digital marketers. Learn how to use data to get a deep understanding of consumers, and create engaging marketing strategies across digital platforms. At the same time, you'll learn all the different business functions, and gain an appreciation of how closely business and marketing decisions intertwine. There is a huge demand for digital marketers and social media managers, so why not become a well-qualified digital marketing specialist with core business skills, and join them?</p>
<p>Using our outstanding industry links, you will learn how businesses really operate through expert guest speakers, projects tackling real life business problems, work placements, sales pitches and offsite visits. You’ll work on projects for organisations such as:</p>
<ul>
<li>Royal Bank of Scotland (RBS)</li>
<li>British Telecom (BT)</li>
<li>Heineken</li>
<li>Michelin</li>
</ul>
<h3>Why study this course here:</h3>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
<p>Focussed squarely on employability, this degree gives you a thorough grounding in marketing and business for today’s ever changing world.  Our marketing students graduate with a passion for innovation, teamwork, creative thinking and the ability to solve real-world business challenges. We prepare you for a great career, and a great future.</p>
                </div>",,
"BA (Hons) Accounting and Finance with People Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/accounting-and-finance-with-people-management/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. National 5 Lifeskill Maths is not accepted in lieu of Maths.</p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BA (Hons) in Accounting &amp; Finance with People Management?</h2>
                    <p class=""preamble""><strong>Join our professionally accredited Accounting and Finance with People Management degree and learn how to work at the financial heart of any business. </strong></p>
<p>This degree is designed to give you the knowledge and hands-on experience you need to work in accounting and finance. Get set to think in different ways, unleash your creativity and explore the financial core of the business world. </p>
<p>Finance and HR (people management) complement each other very well.  Understanding recruitment and talent management will help develop your soft skills alongside accounting. We aim to ensure you have the HR skills you need to become a good people manager.</p>
<p>We prepare you to hit the ground running thanks to live business projects and simulations set by companies such as Sky, Enterprise Rent-A-Car and Children 1<sup>st</sup><em>. </em></p>
<ul>
<li>All the skills you need for a career in accountancy, taxation, auditing and corporate finance.</li>
<li>Professional body accreditation from CIMA, ACCA and AIA.</li>
<li>The key management skills necessary to deliver a financially and environmentally sustainable performance across a wide range of organisations.</li>
<li>An enhanced CV filled with activities such as the <strong>IBM Universities Business Challenge</strong> and <strong>Entrepreneurial Brains Made on Campus (EMBC)</strong> in association with Germany’s Stuttgart Media University.</li>
<li><strong>If you want to start your own business, or work as a freelancer</strong>, Bell Street Ventures is on campus to help you.</li>
</ul>
<ul>
<li>You have the option of international study and a work placement.</li>
</ul>
<h3>Why study this course here:</h3>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
<p>We put employability at the forefront by focusing on current themes in business management. You will develop the knowledge and transferrable skills required to become a professional manager in a digital environment.</p>
<p>So whether your ambition is to start your own business or work within an organisation, your skills will be relevant all over the world.</p>
                </div>,<p class=""preamble""><strong>Join our professionally accredited Accounting and Finance with People Management degree and learn how to work at the financial heart of any business. </strong></p>,<p>This degree is designed to give you the knowledge and hands-on experience you need to work in accounting and finance. Get set to think in different ways, unleash your creativity and explore the financial core of the business world. </p>,<p>Finance and HR (people management) complement each other very well.  Understanding recruitment and talent management will help develop your soft skills alongside accounting. We aim to ensure you have the HR skills you need to become a good people manager.</p>,<p>We prepare you to hit the ground running thanks to live business projects and simulations set by companies such as Sky, Enterprise Rent-A-Car and Children 1<sup>st</sup><em>. </em></p>,<ul>
<li>All the skills you need for a career in accountancy, taxation, auditing and corporate finance.</li>
<li>Professional body accreditation from CIMA, ACCA and AIA.</li>
<li>The key management skills necessary to deliver a financially and environmentally sustainable performance across a wide range of organisations.</li>
<li>An enhanced CV filled with activities such as the <strong>IBM Universities Business Challenge</strong> and <strong>Entrepreneurial Brains Made on Campus (EMBC)</strong> in association with Germany’s Stuttgart Media University.</li>
<li><strong>If you want to start your own business, or work as a freelancer</strong>, Bell Street Ventures is on campus to help you.</li>
</ul>,<ul>
<li>You have the option of international study and a work placement.</li>
</ul>",,
